pdf_id,pdf_url,dl_status,scrape_status,num_pages,num_pages_scraped,is_fillable,text
14006,https://www.cityofchicago.org/content/dam/city/depts/doit/general/GIS/Chicago_Maps/Community_Areas/CA_MCKINLEY_PARK.pdf,Success,Success,1,1,Not a fillable PDF.,"·  32N D B R O SS  BR O SS  T Y O H  L L E B  Y E L K A O  34TH 34TH  T N O M E R A L C  N R E T S E W  MCKINLEY PARK  31ST  32ND  Y E L E E S  N O T L M A H  I  T T  I  V A E L  Y E L E E S  34TH  E N Y O H  ROBINSON 32ND 32ND  33RD  33RD  34TH  D N A L H S A  I  E N T S U J  32ND  T T O C L O W  D O O W  ARCHER  34TH  35TH  N A  I  S E T R A  36TH  N O T L M A H  I  BLAKE  Y E L E E S  R E T S E H C N W  I  T T O C L O W  37TH  A N  I  L U A P  E R O N O H  I  E G A T M R E H  38TH  A  R  T  E  S  I  A  N  N E M A D  PERSHING  ²µ Firehouses ""u Hospitals Æc Libraries ca Police Facilities ¹¼ Schools I"" U S Post Offices Railroads Cemeteries Parks  Legend CTA Lines Blue Line Subway Blue Line Elevated/At-Grade Brown Line Brown, Purple Lines Green Line Green, Orange Lines Pink, Brown, Purple, Orange Lines Pink, Brown, Purple, Orange, Green Lines Orange Line Purple Line Red Line Subway Red Line Elevated/At-Grade Red, Purple Lines Red, Purple, Brown Lines Yellow Line  D L E  I  F H S R A M  36TH  37TH  38TH  I  R E P S A J  S M O O L  I  N L F A L  I  S M O O L  N O R  I  37TH  PERSHING  Copyright © June 2015, City of Chicago  "
27445,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionmarch202004/Lot055.pdf,Success,Success,3,3,Not a fillable PDF.,
1136,https://www.cityofchicago.org/content/dam/city/depts/streets/supp_info/2017StreetSweepingSchedules/2017maps/sweeping_49s.pdf,Success,Success,1,1,Not a fillable PDF.,"JUNEWAY  HASKINS  H E R M  I  T A G E  A N I L U A P  I  D L E F H S R A M  1  H T R O W S O B  D N A L H S A  HOWARD  R E T S E H C N W  I  T T O C L O W  FARGO  4  A N I L U A P  I  E G A T M R E H  M  A  R  S  H  F  I  E  L  D  D N A L H S A  5  H O N O R E  CHASE  C  L  A  R  K  JUNEWAY  JONQUIL  ROGERS  HOWARD  E  A  S  T  L  A  K  E  JARVIS  6  BIRCHWOOD  FARGO  SHERWIN  CHASE  TOUHY  BIRCHWOOD  FARGO  Y E L E E S  3  JARVIS  N E M A D  L L E B  Y E L K A O  T N O M E R A L C  BIRCHWOOD  E N Y O H  2  CHASE  L L E B  N O T L I M A H  TOUHY  7  LUNT  T T O C L O W  FARWELL  D O O W S N E V A R  8  ESTES  A N  I  L U A P  GREENLEAF  D O O W N E L G  D O O W N E L G  W E  I  V N E E R G  9  MORSE  D N A L H S A  10  S  H  E  R  I  D  A  N  E N Y A W  D O O W E K A L  PRATT  E G A T  I  M R E H  COLUMBIA  NORTH SHORE  WALLEN  11  COLUMBIA  NORTH SHORE  COLUMBIA  NORTH SHORE  ALBION  12  LOYOLA  KENMORE  W  I  N  T  H  R  O  P  KENMORE  ALBION  D O O W N E L G  LOYOLA  D O O W E K A L  ARTHUR  D R A G W E N  ARTHUR  E N Y A W  D O O W E K A L  A  I  L O N G A M  DEVON  Streets & Sanitation Work Product Copyright 2017, City of Chicago  Ü  Ward:  49  City of Chicago  "
6980,https://www.cityofchicago.org/content/dam/city/depts/lac/2010lacrulings/10LA05.pdf,Success,Success,24,10,Not a fillable PDF.,"On March 24, 2010, Local Liquor Control Commissioner Gregory Steadman issued an   amended denial letter.  That amended denial letter incorporated the original law enforcement   basis for denial and also alleged the application was denied because the applicant has been   charged with committing a battery, with failure to cooperate with the police on November 29,   2009, concerning the battery investigation and with a happy hour violation committed on   February 10, 2010.  These charges are pending before the Local Liquor Control Commission in   case 10 LR 13.       Since this is a denial of an application the issue before this Commission is to determine   de novo the propriety of the denial of this incidental activity application for a license at this   address.  In order to better understand this decision, a summary of the proceedings which   consists of over 378 pages of transcript and over 27 exhibits is appropriate.       Prior to the start of evidence the City was given leave to amend the amended denial letter   to reflect that the date of the alleged battery was September 7, 2009.  This document is in   evidence as City’s Exhibit 8.  City’s Exhibits 1 through 7 were allowed in evidence as the    documents relied on by Norma Reyes and Gregory Steadman when they made their decision to   deny this application.       Mr. Maragos made a request that this Commission enter a pre-hearing order striking   portions of the amended denial letter referencing the Commission of a battery by the applicant as   a basis for denial.  This request was made on the basis that the criminal charges were disposed of                       2   favorably in Circuit Court.  The request was denied.        Also, prior to the start of evidence the parties entered into a stipulation that the Ole   Lounge at 2812 N. Lincoln Avenue has no prior disciplinary history since its inception in 2006,    aside from the charges pending under Case 10 LR 13.      Thomas Jenkins has been a Chicago Police Officer for eleven years and is presently a   tactical officer in the 19th District.  In late 2009, District Commander Kenny assigned him to   conduct a liquor license investigation regarding Tolgano, Inc., at 1834 West Montrose Avenue.    At the end of his investigation he recommended that Commander Kenny not authorize the liquor   license.  As part of his investigation he did a name check on Mitch Gundogdu and became aware   there was an investigative alert with probable to arrest for a battery sexual criminal assault.  An   investigative alert is issued by a detective and if the alert is with probable cause to arrest it   means a complaint has issued and the person will be arrested.  Jenkins called Mitch personally   and scheduled an appointment at the 19th District for November 28, 2009, at noon.  Mitch did not   appear for this meeting.  Jenkins called Mitch on November 29, and told him he needed to come   in.  Mitch replied he could not.  Jenkins told Mitch the liquor license application would not be   approved and Mitch said he did not care.  Mitch did say he wanted to send in a lawyer or a friend   but Jenkins insisted Mitch appear.  There were two conversations between Jenkins and Mitch   which Jenkins described as friendly, not hostile.  Jenkins felt that Mitch did not cooperate with   the investigation.  Jenkins was not involved in the eventual arrest of Mitch.                           3   On cross Officer Jenkins stated he was assigned this investigation by Commander Kenny   about November 25 or 26.  After Jenkins became aware of the investigative alert he contacted   Michele Wood who was the detective on the case who confirmed the investigative alert with   probable cause to arrest was still valid.  Jenkins did not know the investigative report was   initiated on September 26, 2009.  Detective Wood did not tell Jenkins what happened after the   investigative alert was issued and Jenkins was not aware if he was the first officer to speak to   Mitch.  He called Mitch on November 27 from a phone at the 19th District.  The number he   called from was (312) 744-5983.  Jenkins recalled Mitch said he would send a friend or lawyer   in but was not sure if Mitch said he had a partner.  Jenkins never contacted Mitch=s attorney prior   to writing his report that Mitch was uncooperative.  Jenkins acknowledged he had been trained in   the proper legal procedures involving criminal investigative alerts.  Jenkins also stated Mitch did   speak to him despite his Fifth Amendment rights.  Jenkins had done liquor license application   investigations for two years.  Jenkins initially went to the location of the applicant at 1834 W.   Montrose but it was papered up.  He did not ask anyone to open the door.  Jenkins stated he is   not aware of standard operating procedures for liquor license applications performed by the   Department of Revenue.  His investigation was an investigation for the district commander and   not done for the liquor commission.  He does not need to follow the Department of Revenue   procedures.  His was informal and he had Mitch pick the date and time for him to come in.  He   was doing a liquor license investigation for the district commander pursuant to the district   commander=s receipt of a letter from DBA about this application.  He is not involved in any   police investigation relative to revenue.  His investigations deal with calls for service and doing   name checks.  He deals only with police issues.  He is not aware of the rules and regulations of                       4   investigations before the DBA or the Department of Revenue.       Witnesses were taken out of order to expedite the proceedings.   This decision will   review the City=s case and then the defense witnesses.       John Kenny has been the 19th District Commander since March of 2008.  That district   includes 1834 W. Montrose Avenue.  His role in liquor license applications is to make a   recommendation of whether the license be approved or disapproved after he reviews the findings   of a member of his staff who has conducted a preliminary investigation.  He assigned Officer   Jenkins and Philbin  to investigate the application for 1834 W. Montrose Avenue. They   submitted a summary of their investigation to him on November 29, 2009.  Kenny reviewed that   summary and recommended the application be denied because the applicant failed to cooperate   in the preliminary investigation.  He identified City=s Exhibit 10, as a copy of his report created   on December 7, 2009.  Kenny is familiar with the Ole Lounge which is located within his district   at 2812 N. Lincoln.  He is aware Mr. Gundogdu is also the president of the Ole Lounge.  Kenny   is aware there had been an investigative alert issued regarding an incident that occurred at the   Ole Lounge.  Kenny is aware from Officer Jenkins’ report the Mr. Gundogdu did not appear at a   scheduled meeting with Officer Jenkins.  Kenny stated in his opinion the applicant did not   cooperate with the liquor license application process.  This lack of cooperation influenced his   decision to disapprove the application because it prevented his officers from doing a complete   investigation of the premises and the applicant.  Commander Kenny identified City=s Exhibit 11,   as a printout of calls to or from the address of 2812 N. Lincoln from January 1, 2009, and                       5   January 12, 2010.  It reflects 19 calls for service.  This includes five calls for batteries and two   calls for criminal sexual assault.       On cross Commander Kenny stated that his December 7, 2009, objection set out that Aat   this time,@ December 7, 2009, he disapproved of the application Adue to the fact that the owner   has an investigation No. 299961929.@  Kenny repeated that his disapproval was based on the   applicant=s refusal to come in to be interviewed.  The 19 calls for service was not a point of his   decision.  Kenny never stated in writing to anyone that Mitch Gundogdu Afailed to cooperate   with the police on this investigation alert.@  This was not his investigation.  His liquor license   report states either approve or denial and he attached the investigating officer=s report.  After   reviewing police reports Commander Kenny explained Police Officer Traci Tokarz wrote the   initial report but that the detectives from Area 3 would have done the investigation.  Kenny   never discussed this report with Officer Tocarz or Detective Wood.  The report from Officer   Jenkins indicated the applicant failed to come in for an investigative interview and that   constituted failure to cooperate.  Kenny indicated again the basis of his recommendation to   disapprove was a failure to cooperate with the liquor license investigation.  Kenny did not   consult with either Officer Jenkins or Philbin and did not consult with anyone as to what   constituted failure to cooperate.  Kenny was not aware that Mitch voluntarily submitted himself   with his attorney to be arrested and booked at the 19th District.  He is not aware of the disposition   of that case.            The City rested its case.                  6      Thomas Kamykowski is the Executive Director of the Ravenswood Chamber of   Commerce. That organization is located at 1756 W. Wilson which is about four blocks from the   applicant=s location.  The chamber has about 125 members and its purpose is to support   businesses in the Ravenswood community, to foster a reliable business environment in the area   and to try to contribute back to community.  It sponsors movies and concerts in the Chase Park   and holiday parties at local schools and parks.  The area around 1844 Wilson has gone through   hard times over the last couple of years.  The Brown Line AL@ station was closed for rehab for an   entire year and then there was a huge sinkhole.  There has also been street repair and seven   projects going on.  In the last six months their area has started to become very viable.  A   business like Wolcott=s would adhere to the changing character of that stretch of Montrose.  The   witness knows Mitch and Wolcott=s from stopping by to view the work going on.  The previous   site of Wolcott=s was an eyesore with employees getting into disputes with neighbors.  It was a   pizza place that disposed of grease improperly.  After the pizza business vacated the premises it   was vacant and attracted homeless people and marked by graffiti.  Wolcott=s would be an asset to   the community.  It would prevent crime in the neighborhood because it would conform to the   changing character of Montrose and would not be attracting the type of folks typically associated   with crime.  The witness identified Licensee=s Exhibit 1, as a letter he wrote in support of this   license.       On cross the witness stated he lives a couple of miles away but works in the   neighborhood and has worked in the neighborhood since January of 2000.  He does not know                       7   investigative alert.  Mr. Neville=s opinion is that Mitch did fully cooperate with the criminal   investigation.    On cross Mr. Neville stated he became aware of the liquor license application sometime   between September and December of 2009, but it was after he advised Mitch of his Fifth    Amendment Rights Neville repeated his advice was not to speak to any police officer unless he   was present and they both understood what the questions were going to be about. If someone had   called him and asked to be able to speak with Mitch about the liquor license application that   might have led to a different result.  He was not going to allow Mitch to speak with the police   when there was a criminal investigation ongoing.  Neville does not know how many times Mitch   was contacted by the police between September and December but it was many times.  Neville   made the one phone call to Officer Torres from September to December of 2009 and then spoke   to Officer Vargas on December 7, 8, and 14.  Neville could not state when he became aware   Mitch had an appointment with Officer Jenkins on November 28, 2009.  He knew there was an   investigation going on about the liquor license but his focus was on the criminal case in which he   was representing Mitch.  Mitch did not specifically seek his advice about the license   investigation. Mitch did not ask him to attend the November 28 meeting with Officer Jenkins in   his stead and he never called Officer Jenkins on behalf of Mitch regarding the November 28   meeting.          Mitch Gundogdu has been in the restaurant business since 1997.  He owned Figuero Bar   and Grill located at 4256 N. Western Avenue in 1997 and has owned the Ole lounge at 2812 N.   Lincoln since 2000.  He applied for and received liquor licenses for both establishments and did                       15   "
14611,https://www.cityofchicago.org/content/dam/city/depts/cdph/CDPH/NonDiscriminationNotice_Tagalog.pdf,Error,'charmap' codec can't encode character '\uf0b7' in position 557: character maps to <undefined>
,,,,,,,
27043,https://www.cityofchicago.org/cityarchives/procurement/auctions/auctionaugust062005/Lot1059.pdf,Success,Success,3,3,Not a fillable PDF.,
26579,https://www.cityofchicago.org/content/dam/city/depts/dhr/supp_info/JobSpecifications/JobSpecName/SUPVSR-OF-STREET-CLEANING_8196.pdf,Success,Success,3,3,Not a fillable PDF.,"   Code:  8196  Family: Construction, Maintenance, and Skilled Labor  Service: Operation and Construction   Group: Street, Water, Sewer, and Disposal  Series: Sanitation         CLASS TITLE: SUPERVISOR OF STREET CLEANING   CHARACTERISTICS OF THE CLASS      Under general supervision, coordinates and supervises work crews providing a variety of street and  lot cleaning, graffiti removal and other neighborhood improvement services through programs within  the Bureau of Street Operations; and performs related duties as required      ESSENTIAL DUTIES   •  Surveys designated neighborhood areas to identify street cleaning services needed, including   lot cleaning, graffiti removal, weed cutting, debris removal, snow and ice removal and other  related neighborhood improvement services    •  Works with Bureau of Street Operations management in preparing work plans, scheduling work   crews and equipment, and making daily work assignments   •  Monitors work in progress to ensure work crews are on schedule and meet established work   objectives   •  Plans and schedules garage demolitions by work crews and coordinates appropriate debris and   •   garbage removal from site  Inspects vacant lots with debris and uses computer to access property owner records to  determine ownership      •  Writes and issues citations for sanitation code violations    •  Maintains computerized records and database of work activity records and prepares productivity   reports for use in performance management reviews       •  Responds to service requests and complaints regarding Bureau of Street Operations programs   received through the City’s 311 system     •  Approves subordinates time off requests and monitors CATA records for accuracy  •  Assists in developing performance standards and evaluates subordinate employees’   performance   •  Represents the department at community and civic meetings to provide information on Bureau   of Street Operations programs and services     NOTE:  The list of essential duties is not intended to be inclusive; there may be other duties that are   essential to particular positions within the class.        MINIMUM QUALIFICATIONS   Education, Training, and Experience  •  Four years of work experience in street cleaning or sanitation operations    Licensure, Certification, or Other Qualifications  •  A valid State of Illinois driver's license is required      WORKING CONDITIONS   •  General office environment  •  Exposure to outdoor weather conditions     EQUIPMENT   CODE:  8196  CLASS TITLE: SUPERVISOR OF STREET CLEANING       •  Standard office equipment (e.g., telephone, printer, photocopier, fax machine, calculator)  •  Computers and peripheral equipment (e.g., personal computer, computer terminals, hand-held   computer, modems)   •  Communications equipment     PHYSICAL REQUIREMENTS  •  Ability to stand or walk for extended or continuous periods of time  •  Work performed at great heights with the use of safety belts      KNOWLEDGE, SKILLS, ABILITIES, AND OTHER WORK REQUIREMENTS   Knowledge  Some knowledge of:  •  Departmental procedures for the clean up of vacant lots and debris removal   •  geographical locations within the City and applicable facilities  •  supervisory principles, methods, practices and procedures  •  applicable safety codes, principles, methods, practices, and procedures, including OSHA   standards   •  use of safety equipment and protective gear   •  applicable computer software packages and applications  Knowledge of applicable City and department policies, procedures, rules, regulations, and  ordinances             Skills  •   •   •  •   *ACTIVE LEARNING - Understand the implications of new information for both current and  future problem-solving and decision-making  *ACTIVE LISTENING - Give full attention to what other people are saying, take time to  understand the points being made, ask questions as appropriate, and not interrupt at  inappropriate times   •  MONITORING - Monitor and assess performance of one's self, other individuals, or   organizations to make improvements or take corrective action  *COORDINATION WITH OTHERS - Adjust actions in relation to others' actions  *JUDGEMENT AND DECISION MAKING - Consider the relative costs and benefits of potential  actions to choose the most appropriate one    Abilities  •  COMPREHEND ORAL INFORMATION - Listen to and understand information and ideas   presented through spoken words and sentences   •  SPEAK - Communicate information and ideas in speaking so others will understand  •  COMPREHEND WRITTEN INFORMATION - Read and understand information and ideas   presented in writing   Page 2 of 3   CODE:  8196  CLASS TITLE: SUPERVISOR OF STREET CLEANING       •  WRITE - Communicate information and ideas in writing so others will understand  •  REASON TO SOLVE PROBLEMS - Apply general rules to specific problems to produce   answers that make sense  Other Work Requirements  •  PERSISTENCE - Persist in the face of obstacles on the job  •  •  LEADERSHIP - Demonstrate willingness to lead, take charge, and offer opinions and direction  •  ADAPTABILITY/FLEXIBILITY - Be open to change (positive or negative) and to considerable   INITIATIVE - Demonstrate willingness to take on job challenges   variety in the workplace   •  DEPENDABILITY - Demonstrate reliability, responsibility, and dependability and fulfill   obligations         All employees of the City of Chicago must demonstrate commitment to and compliance with applicable  state and federal laws, and City ordinances and rules; the City’s Ethics standards; and other City  policies and procedures.  The City of Chicago will consider equivalent foreign degrees, accreditations, and credentials in  evaluating qualifications.  * May be required at entry.         City of Chicago  Department of Human Resources                            Date:  August,  2010           Page 3 of 3   "
24498,https://www.cityofchicago.org/content/dam/city/depts/ethics/general/Disclosures-Required/BurrowsV-121613REQ.pdf,Success,Success,1,1,Not a fillable PDF.,"        Steve Berlin  Executive Director  Board of Ethics                               Erin Keane  Acting City Comptroller  Department of Finance   Vanessa Burrows  Attorney/HIPAA Privacy Officer  Department of Public Health      December 16, 2013   To:                          From:              Date:    Subject:       On December 16, 2013 at 9:30 AM a ginger bread house and box of chocolates were delivered to  our office from Holian Industries Inc. addressed to Barbara Kay, City of Chicago Environmental.    As a department, we would like to accept the ginger bread house and box of chocolates on behalf of  the City. We will place them in our public lobby at 333 S. State Street 2nd floor.    Order/Product: (1) ginger bread house and (1) box of chocolates  Company: Holian Industries – Asbestos Removal & Encapsulation Corp.  Date Received: 12/16/12  From: Holian Industries, Tim Holian    If you have any questions, please call me at (312)747-9698 or Maria Gallegos at (312) 747-9870.   Thank you.     Accepted a ginger bread house and box of chocolates on behalf of the City         "
12995,https://www.cityofchicago.org/content/dam/city/depts/bacp/PlansofOperation/planofoperation2650nclarkst.pdf,Success,Success,3,3,Not a fillable PDF.,"DEPARTMENT  OF  BUSINESS  AFFAIRS  AND  CONSUMER  PROTECTION   CITY  OF  CHICAGO   9. 	 The  licensee agrees not to sell fortified wines including,  but not limited to, Wild Irish Rose,  Night Train,   Italian Swiss,  Gallo, Taylor Port and  White port, MD20/20, Cisco,  Cool  Breeze, Thunderbird, Sunset  Grain Alcohol, Seagram's Spritzer and  other such  products.   10.  The  licensee agrees to not sell  all  high-gravity malt liquors,  including, but not limited to,  St.  lves, Steel   Reserve  211,  Colt 45, Sparks, Joose, Schlitz, Axe  Head, Camo  Black,  Cobra, or KoKoloko and  malt  beverage  products in  ""single serve"" 40 ounce containers .   11.  Licensee agrees to set up meetings with the local alderman, police commander and community   residents to discuss any problematic concerns regarding the operation of the business.   The conditions of these  Licenses issued  pursuant to this Plan of Operation are legally binding and  may be  enforced by the City of Chicago enforcement authorities. All other conditions of the Licenses are governed  by the City of Chicago  Municipal Code. Violation of the above stated conditions may result in the imposition  of a fine and/or suspension or revocation of all business licenses issued to the Licensee . Violation of the  above stated conditions may also  result in the issuance of cease  and  desist orders prohibiting the activity  which violates the conditions of the licenses.   The conditions of these Licenses issued  pursuant to this Plan of Operation shall apply to the business  address and  Licensee  and  to all officers, managers, partners, and direct or indirect owners of the licensed  entity. The sale of the business to other persons purchasing the stock or membership units of the licensed  entity does not void the conditions of the Licenses.  Any and  all potential new owners of the licensed entity  shall  be  subject to the same conditions set forth in this statement.   121  NORTH  LASALLE  STREET,  ROOM  805,  CHICAGO,  ILLINOIS  60602   DEPARTMENT  OF  BusiNEss  AFFAIRS  AND  CoNSUMER  PROTECTION   CITY  OF  CHICAGO   It shall be the duty of every person conducting, engaging in,  maintaining, operating, carry on  or managing  the above mentioned business entity to post this Plan  of Operation next to the licenses in  a conspicuous  place at the Premises.   Licensee:  Business Address:  Account:   TARGET CORPORATION  2650 N.  Clark St.  15538-25   Date   l!::ct:£n~d{l§J    City of Chicago  Local  Liquor Control Commission   121  NORTH  LASALLE  STREET,  ROOM  805,  CHICAGO,  lLLINOIS  60602   "
